Товар наименование;код товара;цена;Остаток;код склада
SHIVAKI TV LED S32KH5500  black;15640;75141;0;2
SHIVAKI TV LED S32KH5500  black;15640;73891;2;3
SHIVAKI TV LED US43H3501steel;14818;125304;11;4
SHIVAKI TV LED US43H3501steel;14818;125304;3;17
SHIVAKI TV LED US43H3501steel;14818;125789;0;1
SHIVAKI TV LED US43H3501steel;14818;125789;0;2
SHIVAKI TV LED US43H3501steel;14818;125304;0;3
Плоскопанельный телевизор VESTA V32LH4300 black;17679;63262;1;17
Плоскопанельный телевизор VESTA V32LH4300 black;17679;58900;0;2
Вентилятор напольный Centek CT-5004 Gray   <40Вт> 2 шт/уп., LED, 43см, 1.25 м, лучевая решетка;11428;11899;0;4
Вентилятор напольный Centek CT-5004 Gray   <40Вт> 2 шт/уп., LED, 43см, 1.25 м, лучевая решетка;11428;11990;0;2
Вентилятор напольный Centek CT-5004 Gray   <40Вт> 2 шт/уп., LED, 43см, 1.25 м, лучевая решетка;11428;7000;0;3
Вентилятор напольный Centek CT-5015 Blue   <40Вт> LED, 43см, 1.25м, 3 скорости, автоповорот;11430;14980;14;4
Вентилятор напольный Centek CT-5015 Blue   <40Вт> LED, 43см, 1.25м, 3 скорости, автоповорот;11430;15990;0;2
Вентилятор напольный Centek CT-5015 Blue   <40Вт> LED, 43см, 1.25м, 3 скорости, автоповорот;11430;14980;3;3
Вентилятор напольный Centek CT-5015 Gray   <40Вт> LED, 43см, 1.25м, 3 скорости, автоповорот;11431;15386;12;4
Вентилятор напольный Centek CT-5015 Gray   <40Вт> LED, 43см, 1.25м, 3 скорости, автоповорот;11431;16300;1;1
Вентилятор напольный Centek CT-5015 Gray   <40Вт> LED, 43см, 1.25м, 3 скорости, автоповорот;11431;16428;0;2
Вентилятор напольный Centek CT-5015 Gray   <40Вт> LED, 43см, 1.25м, 3 скорости, автоповорот;11431;15386;1;3
Вентилятор настольный Centek CT-5003 BLUE (синий)  <20 Вт> диам: 19 см, металическая решётка, клипса;11527;6300;0;2
"Вентилятор напольный ""making Оasis everywhere"" серия VF-40PB (1 шт в коробке)";19808;8500;1;1
"Вентилятор напольный ""making Оasis everywhere"" серия VF-40PB (1 шт в коробке)";19808;8500;2;2
"Вентилятор напольный ""making Оasis everywhere"" серия VF-40PWB ( 4 шт в коробке)";19676;6400;8;2
"Вентилятор напольный ""making Оasis everywhere"" серия VF-40PWB (2шт в коробке)";19675;7300;4;2
"Вентилятор напольный ""making Оasis everywhere"" серия VF-40PWG (2шт в коробке)";19677;7300;0;2
"Вентилятор напольный ""making Оasis everywhere"" серия VF-40TMB";19678;12800;5;2
"Вентилятор напольный ""making Оasis everywhere"" серия VF-40TMW";19680;13900;5;2
"Вентилятор напольный ""making Оasis everywhere"" серия VF-40TW (1 шт в кор)";19684;10900;5;2
"Вентилятор напольный ""making Оasis everywhere"" серия VF-40ТB ( 1шт в коробке)";19683;10600;5;2
"Вентилятор настольный ""making Оasis everywhere"" серия VT-25W2 (2 шт в кор)";19681;6800;3;2
"Вентилятор настольный ""making Оasis everywhere"" серия VT-30W3";19682;7500;0;1
"Вентилятор настольный ""making Оasis everywhere"" серия VT-30W3";19682;7500;0;2
LEX EDM 071 IX духовой шкаф;14570;135190;1;4
LEX EDM 071 IX духовой шкаф;14570;135200;2;2
LEX EDM 071 IX духовой шкаф;14570;135190;1;3
"Духовой шкаф электрический ""making Oasis everywhere"" D-MB5 (V)";14682;142119;0;2
"Духовой шкаф электрический ""making Oasis everywhere"" D-MB5 (V)";14682;141480;1;3
"Духовой шкаф электрический ""making Oasis everywhere"" D-MB5";18434;142580;1;2
"Кухонная газовая варочная поверхность ART-Moderno I64-1040"" inox";19305;68426;3;4
"Кухонная газовая варочная поверхность ART-Premio I75-1020"" inox";19307;89040;2;4
"Кухонная газовая варочная поверхность Moderno A64-0030"" inox";19308;62440;4;4
"Кухонная газовая варочная поверхность""Premio i64-1030"" inox";19304;80140;3;4
"Варочная панель газовая ""making Oasis everywhere P-EW";19672;65400;1;2
"Варочная панель газовая ""making Oasis everywhere"" P-EW";18002;50800;0;2
"Варочная панель газовая ""making Oasis everywhere"" P-GBD";18003;54400;1;2
"Варочная панель газовая ""making Oasis everywhere"" P-GWD";18004;58500;1;2
"Варочная панель газовая ""making Oasis everywhere"" P-GWR";17407;87990;1;2
"Варочная панель газовая ""making Oasis everywhere"" P-GWTT (F)";10778;134990;1;2
"Варочная панель газовая ""making Oasis everywhere"" P-MBK31";17408;75680;4;2
"Варочная панель газовая ""making Oasis everywhere"" P-MBK31";17408;75680;1;3
"Варочная панель газовая ""making Oasis everywhere"" P-MBRT (B)";14213;71989;1;2
"Варочная панель электрическая ""making Oasis everywhere"" P-3SB";18431;72670;0;2
"Варочная панель электрическая ""making Oasis everywhere"" P-SB";11164;75240;11;2
"Варочная панель электрическая ""making Oasis everywhere"" P-SB";11164;75240;2;3
"Варочная панель электрическая ""making Oasis everywhere"" P-SWS (М)";15340;247662;2;2
Вытяжка Artel ART 0760 Prima  beige;16543;41574;4;4
Вытяжка Artel ART 0760 Prima  beige;16543;46300;0;2
Вытяжка Centek CT-1840-50 Black (черный)  ширина 50см. СЛАЙДЕР, 600 м3/час (67 Вт), 2 скорости, LED;16073;42880;3;4
Вытяжка Centek CT-1840-50 Black (черный)  ширина 50см. СЛАЙДЕР, 600 м3/час (67 Вт), 2 скорости, LED;16073;42880;1;1
Вытяжка Centek CT-1840-50 Black (черный)  ширина 50см. СЛАЙДЕР, 600 м3/час (67 Вт), 2 скорости, LED;16073;42880;1;2
"Вытяжка кухонная ""making Оasis everywhere"" UV - 50 G (F)";10793;39900;0;2
"Вытяжка кухонная ""making Оasis everywhere"" UV - 50 G (F)";10793;38870;1;3
"Вытяжка кухонная ""making Оasis everywhere"" UV - 50 I (F)";7588;38060;1;1
"Вытяжка кухонная ""making Оasis everywhere"" UV - 50 I (F)";7588;32830;0;2
"Вытяжка кухонная ""making Оasis everywhere"" UV - 50 I (F)";7588;38060;1;3
"Вытяжка кухонная ""making Оasis everywhere"" UV - 50 S (F)";7589;37800;2;2
"Вытяжка кухонная ""making Оasis everywhere"" UV - 50G (F)";9494;38800;0;2
"Вытяжка кухонная ""making Оasis everywhere"" UV - 60G (F)";11160;39900;0;1
"Вытяжка кухонная ""making Оasis everywhere"" UV - 60G (F)";11160;39900;2;2
"Вытяжка кухонная ""making Оasis everywhere"" UP - 50 I (V)";14676;29600;2;2
"Вытяжка кухонная ""making Оasis everywhere"" NC-50B";16686;51900;2;2
"Вытяжка кухонная ""making Оasis everywhere"" NC-60W";16690;55049;1;2
"Вытяжка кухонная ""making Оasis everywhere"" NF - 60G (FR)";16683;74470;2;2
"Вытяжка кухонная ""making Оasis everywhere"" NF - 60W (FR)";16684;76880;2;2
"Вытяжка кухонная ""making Оasis everywhere"" NP - 60 W (FR)";16115;54400;2;2
"Вытяжка кухонная ""making Оasis everywhere"" KB- 50S";19671;36800;1;2
Сплит система ART-12HME32;14729;170980;1;2
Сплит-Система В-12FPR-IK/B-12FPQ-IK;19048;136789;5;4
Сплит-Система В-24FPR-IK/B-24FPQ-IK;19050;254615;3;4
Плита бытовая FLAMA RG24019-W;672;68705;241;17
Плита бытовая FLAMA RG24019-W;672;71000;0;2
Плита бытовая FLAMA RG24019-W;672;71000;0;15
Плита бытовая FLAMA RK23-121-W;272;108490;17;17
Плита бытовая FLAMA RK23-121-W;272;69580;0;2
Плита газовая SHIVAKI APETITO 01-G grey;14404;100470;8;4
Плита газовая SHIVAKI APETITO 01-G grey;14404;101500;0;2
Плита газовая SHIVAKI APETITO 10-G brown (коричневый);14227;86016;6;4
Плита газовая SHIVAKI APETITO 10-G brown (коричневый);14227;86016;1;17
Плита газовая SHIVAKI APETITO 10-G brown (коричневый);14227;86968;0;2
Плита газовая SHIVAKI APETITO 10-G серый;14019;87031;3;4
Плита газовая SHIVAKI APETITO 10-G серый;14019;91300;0;2
Плита газовая SHIVAKI APETITO 10-G серый;14019;91300;0;3
Плита газовая SHIVAKI APETITO 50 10-G  white;14260;75126;1;17
Плита газовая SHIVAKI APETITO 50 10-G  white;14260;75600;0;2
Плита газовая SHIVAKI APETITO 50 10-G  white;14260;75600;0;3
Плита газовая SHIVAKI OTTIMA G белый;11840;70654;1;4
Плита газовая SHIVAKI OTTIMA G белый;11840;70654;1;1
Плита газовая SHIVAKI OTTIMA G белый;11840;70654;9;2
Плита газовая SHIVAKI OTTIMA G белый;11840;70654;4;3
Плита газовая SHIVAKI OTTIMA G серый;14110;82213;20;4
Плита газовая SHIVAKI OTTIMA G серый;14110;72890;0;2
Плита газовая SHIVAKI OTTIMA G серый;14110;82224;0;3
APETITO 00-E brown SHIVAKI газоэлектрическая плита;11832;89890;3;17
APETITO 00-E brown SHIVAKI газоэлектрическая плита;11832;89890;0;2
APETITO 00-E brown SHIVAKI газоэлектрическая плита;11832;89890;2;3
APETITO 01-E  brown SHIVAKI газоэлектрическая плита;14168;101730;2;17
APETITO 01-E  brown SHIVAKI газоэлектрическая плита;14168;106390;0;2
APETITO 01-E grey SHIVAKI газоэлектрическая плита;11860;102390;2;1
APETITO 01-E grey SHIVAKI газоэлектрическая плита;11860;102390;4;2
APETITO 01-E grey SHIVAKI газоэлектрическая плита;11860;102390;4;3
APETITO 10-E белый SHIVAKI  газоэлектрическая плита;11862;90745;1;4
APETITO 10-E белый SHIVAKI  газоэлектрическая плита;11862;90745;1;2
APETITO 10-E белый SHIVAKI  газоэлектрическая плита;11862;90745;3;3
APETITO 10-E серый SHIVAKI газоэлектрическая плита;14020;90824;7;4
APETITO 10-E серый SHIVAKI газоэлектрическая плита;14020;90835;0;2
APETITO 10-E серый SHIVAKI газоэлектрическая плита;14020;90835;0;3
DOLCE 01-EX white  SHIVAKI газоэлектическая плита;14234;101757;2;1
DOLCE 01-EX white  SHIVAKI газоэлектическая плита;14234;101757;13;2
DOLCE 01-EX white  SHIVAKI газоэлектическая плита;14234;101757;7;3
MILAGRO 00-Е brown SHIVAKI газоэлектрическая плита;14121;100480;4;17
MILAGRO 00-Е brown SHIVAKI газоэлектрическая плита;14121;102990;0;2
MILAGRO 00-Е brown SHIVAKI газоэлектрическая плита;14121;100480;1;3
MILAGRO 10-Е white SHIVAKI газоэлектрическая плита;11864;102625;0;17
MILAGRO 10-Е white SHIVAKI газоэлектрическая плита;11864;101842;2;1
MILAGRO 10-Е white SHIVAKI газоэлектрическая плита;11864;101842;6;2
MILAGRO 10-Е white SHIVAKI газоэлектрическая плита;11864;101842;4;3
MILAGRO 10-Е бежевый (3 газ + 1 электро) SHIVAKI  газоэлектрическая плита;11863;123749;4;4
MILAGRO 10-Е бежевый (3 газ + 1 электро) SHIVAKI  газоэлектрическая плита;11863;123749;0;1
MILAGRO 10-Е бежевый (3 газ + 1 электро) SHIVAKI  газоэлектрическая плита;11863;123749;9;2
MILAGRO 10-Е бежевый (3 газ + 1 электро) SHIVAKI  газоэлектрическая плита;11863;135000;0;3
COMARELLA 01-E grey плита электрическая SHIVAKI;14174;107290;11;4
COMARELLA 01-E grey плита электрическая SHIVAKI;14174;107290;0;2
Блендер Centek CT-1319 BLACK (черн) 1000Вт, НАСАДКА СТАЛЬ, стакан 700мл, чоппер 500 мл, венчик;10273;17220;7;4
Блендер Centek CT-1319 BLACK (черн) 1000Вт, НАСАДКА СТАЛЬ, стакан 700мл, чоппер 500 мл, венчик;10273;17220;3;2
Блендер Centek CT-1319 BLACK (черн) 1000Вт, НАСАДКА СТАЛЬ, стакан 700мл, чоппер 500 мл, венчик;10273;17220;2;3
Блендер Centek CT-1336 (белый/серый) 800Вт DC мотор, стальная насадка, стакан 600мл, чоппер, венчик;10275;11857;4;4
Блендер Centek CT-1336 (белый/серый) 800Вт DC мотор, стальная насадка, стакан 600мл, чоппер, венчик;10275;11269;7;2
Блендер Centek CT-1341 <White>  600Вт  Турбо режим, специальная заточка лезвий;10282;5190;4;4
Блендер Centek CT-1341 <White>  600Вт  Турбо режим, специальная заточка лезвий;10282;5178;1;2
Блендер Centek CT-1342 (черн/сталь)1400Вт, 2 скорости +плавный регулятор, чоппер 500мл, стакан 600мл;10283;19400;3;4
Блендер Centek CT-1342 (черн/сталь)1400Вт, 2 скорости +плавный регулятор, чоппер 500мл, стакан 600мл;10283;19400;2;2
Блендер Centek CT-1344 <White>  600Вт, турбо режим, специальная заточка лезвий, стакан 600мл;10284;7499;6;4
Блендер Centek CT-1344 <White>  600Вт, турбо режим, специальная заточка лезвий, стакан 600мл;10284;7499;2;2
Блендер настольный Centek CT-1348 (Бежевый) <600 Вт> стакан 1.5л, 2 скорости + Pulse, 4 лезвия;11892;13500;0;2
Блендер настольный Centek CT-1348 (Бежевый) <600 Вт> стакан 1.5л, 2 скорости + Pulse, 4 лезвия;11892;13720;1;3
Чоппер Centek CT-1390 BLACK (черн) 300Вт, стакан 350 мл, импульсный режим работы;11345;7756;6;2
Чоппер Centek CT-1390 WHITE (бел) 300Вт, стакан 350 мл, импульсный режим работы;11346;7756;5;2
Чоппер Centek CT-1391 Black (черн) 350Вт, стакан 500 мл, НАСАДКА ДЛЯ СЛИВОК, турбо +импульсный режим;10915;10620;1;4
Чоппер Centek CT-1391 Black (черн) 350Вт, стакан 500 мл, НАСАДКА ДЛЯ СЛИВОК, турбо +импульсный режим;10915;8600;0;2
Чоппер Centek CT-1392 Сталь <600Вт> 6 лезвий, стеклянная чаша 1,2л, разборные ножи;14077;22390;5;4
Чоппер Centek CT-1392 Сталь <600Вт> 6 лезвий, стеклянная чаша 1,2л, разборные ножи;14077;22496;0;2
Погружной блендер Oasis BL-150B;17612;21302;2;2
Погружной блендер Oasis BL-150B;17612;21302;1;3
Блендер WILLMARK WHB-1032BS  погружной (800 Вт, турбо режим, левзия из нерж.стали);19055;8481;2;4
Блендер WILLMARK WHB-1032BS  погружной (800 Вт, турбо режим, левзия из нерж.стали);19055;8482;3;2
Блендер WILLMARK WHB-1153WS  погружной (1000 Вт, турбо режим, левзия из нерж.стали);19092;12128;3;2
Блендер WILLMARK WHB-1153WS  погружной (1000 Вт, турбо режим, левзия из нерж.стали);19092;12118;2;3
Блендер погружной WILLMARK WHB-1150PS (500Вт,регул. скорости,турбо режим,Soft touch, бордовый;19057;5938;1;4
Блендер погружной WILLMARK WHB-1155BS(soft touch,стак.600мл.,венчик, нас.пюре,измельч, черный 1000W;19058;26055;3;4
Блендер погружной WILLMARK WHB-1155BS(soft touch,стак.600мл.,венчик, нас.пюре,измельч, черный 1000W;19058;26065;3;2
Бритва Centek CT-2176 (черн/хром) ротор, 3 плавающие головки, аккумулятор + работа от сети, триммер;11742;8089;2;4
Бритва Centek CT-2176 (черн/хром) ротор, 3 плавающие головки, аккумулятор + работа от сети, триммер;11742;9195;0;2
Гриль-вафельница Centek CT-1448  800 Вт ГРИЛЬ <226х148.5мм> анти пригарное покрытие, max 220°С;11110;9769;4;4
Гриль-вафельница Centek CT-1448  800 Вт ГРИЛЬ <226х148.5мм> анти пригарное покрытие, max 220°С;11110;9769;9;2
Гриль-вафельница Centek CT-1448  800 Вт ГРИЛЬ <226х148.5мм> анти пригарное покрытие, max 220°С;11110;9769;1;3
Весы кухонные Centek CT-2462 (Серебристый) электронные, стеклянные, LCD, 190х200 мм, max 5кг, шаг 1г;15433;7363;2;4
Весы кухонные Centek CT-2462 (Серебристый) электронные, стеклянные, LCD, 190х200 мм, max 5кг, шаг 1г;15433;4600;0;2
Весы кухонные Centek CT-2462 (Черри) электронные, стеклянные, LCD, 190х200 мм, max 5кг, шаг 1г;11773;9989;3;4
Весы кухонные Centek CT-2462 (Черри) электронные, стеклянные, LCD, 190х200 мм, max 5кг, шаг 1г;11773;4600;0;2
Весы кухонные WILLMARK WKS-318B (макс 5кг.,вычет веса тары, индик.перегрузки, закаленное стекло) (Яг;19098;3790;1;2
Весы кухонные WILLMARK WKS-318B (макс 5кг.,вычет веса тары, индик.перегрузки, закаленное стекло) (Яг;19098;3789;2;3
Весы кухонные WILLMARK WKS-511D (5кг., 385г, 203*153мм, цвета в ассортименте) (Лайм);19099;4037;3;2
Весы кухонные WILLMARK WKS-511D (5кг., 385г, 203*153мм, цвета в ассортименте) (Лайм);19099;4036;2;3
Весы напольные WILLMARK WBS-1809RD (макс.вес 180кг,индикац перегр,,без измер темп. низк заряд бат-и);19104;4613;2;2
Весы напольные WILLMARK WBS-1809RD (макс.вес 180кг,индикац перегр,,без измер темп. низк заряд бат-и);19104;4613;1;3
Кофеварка Centek CT-1144 <Steel>  капельная 680Вт,   800мл, капля стоп, съёмный фильтр, подогрев;11301;15000;3;4
Кофеварка Centek CT-1144 <Steel>  капельная 680Вт,   800мл, капля стоп, съёмный фильтр, подогрев;11301;11680;4;2
Кофеварка Centek CT-1166 <3в1> эспрессо+капучинатор +латте,1200Вт, 20 бар;17780;56746;1;4
Кофеварка Centek CT-1171 <3в1> эспрессо+капучинатор +латте,1200Вт, 20 бар;17783;38537;3;4
Кофеварка Centek CT-1171 <3в1> эспрессо+капучинатор +латте,1200Вт, 20 бар;17783;38553;0;2
Кофемолка Centek CT-1354 BL (черный) 200Вт, 70г, АВТОпомол (3 уровня), 3 LED индикатора;14549;12820;3;4
Кофемолка Centek CT-1354 BL (черный) 200Вт, 70г, АВТОпомол (3 уровня), 3 LED индикатора;14549;12890;0;2
Кофемолка Centek CT-1358 Violet (фиолет) 200Вт, 60 г, 6 ЧАШЕК АРОМАТНОГО КОФЕ, прозрачная крышка;11710;6699;1;4
Кофемолка Centek CT-1358 Violet (фиолет) 200Вт, 60 г, 6 ЧАШЕК АРОМАТНОГО КОФЕ, прозрачная крышка;11710;7950;0;2
Кофемолка Centek CT-1358 Violet (фиолет) 200Вт, 60 г, 6 ЧАШЕК АРОМАТНОГО КОФЕ, прозрачная крышка;11710;6699;2;3
Кофемолка Centek CT-1365 Black 250Вт, 165 мл, безопасная блокировка, стальн чаша, прозрачная крышка;11711;7089;4;4
Кофемолка Centek CT-1365 Black 250Вт, 165 мл, безопасная блокировка, стальн чаша, прозрачная крышка;11711;7078;2;2
Кофемолка Centek CT-1365 White  250Вт, 165 мл, безопасная блокировка, стальн чаша, прозрачная крышка;11712;9778;5;4
Кофемолка Centek CT-1365 White  250Вт, 165 мл, безопасная блокировка, стальн чаша, прозрачная крышка;11712;6600;0;2
Ванночка для ног Centek CT-2604 65 Вт, 3режима, инфракрасный авто.подогрев,вибромассаж;15438;16040;2;4
Ванночка для ног Centek CT-2604 65 Вт, 3режима, инфракрасный авто.подогрев,вибромассаж;15438;29335;0;2
Машинка для стрижки Centek CT-2129 (чер/зол)  срез 0...12мм, производительный мотор, шнур 1.8м;14058;4399;5;4
Машинка для стрижки Centek CT-2129 (чер/зол)  срез 0...12мм, производительный мотор, шнур 1.8м;14058;6990;0;2
Машинка для стрижки Centek CT-2134 (чер/сталь)  3 насадки, USB зарядка, время работы 55 мин;11311;5191;3;4
Машинка для стрижки Centek CT-2134 (чер/сталь)  3 насадки, USB зарядка, время работы 55 мин;11311;5191;1;2
Машинка для стрижки Centek CT-2135 (черный) 9 Вт, длина шнура 1.8м,  4 насадки, премиум упак, щеточ.;14059;6119;3;4
Машинка для стрижки Centek CT-2135 (черный) 9 Вт, длина шнура 1.8м,  4 насадки, премиум упак, щеточ.;14059;6120;3;2
Миксер Centek CT-1114 (белый/серый) 350Вт, 6 скоростей+турбо, взбивание/замешивание;11113;9994;1;17
Миксер Centek CT-1114 (белый/серый) 350Вт, 6 скоростей+турбо, взбивание/замешивание;11113;9994;1;2
Миксер Centek CT-1114 (белый/серый) 350Вт, 6 скоростей+турбо, взбивание/замешивание;11113;9994;2;3
Миксер Centek CT-1115 (черный/хром) 350Вт, 6 скоростей+турбо, взбивание/замешивание;11114;7114;2;4
Миксер Centek CT-1115 (черный/хром) 350Вт, 6 скоростей+турбо, взбивание/замешивание;11114;7059;0;2
Миксер Centek CT-1115 (черный/хром) 350Вт, 6 скоростей+турбо, взбивание/замешивание;11114;7081;2;3
Миксер Centek CT-1127 (син/черн) 250Вт, 5 скоростей, взбивание/замешивание, экол. пластик. корпус;14867;5845;5;4
Миксер Centek CT-1127 (син/черн) 250Вт, 5 скоростей, взбивание/замешивание, экол. пластик. корпус;14867;11490;1;17
Миксер Centek CT-1127 (син/черн) 250Вт, 5 скоростей, взбивание/замешивание, экол. пластик. корпус;14867;5812;3;2
Миксер Centek CT-1127 (син/черн) 250Вт, 5 скоростей, взбивание/замешивание, экол. пластик. корпус;14867;6280;1;3
Миксер Centek CT-1127 (черн/беж) 250Вт, 5 скоростей, взбивание/замешивание, экол. пластик. корпус;14868;5735;4;4
Миксер Centek CT-1127 (черн/беж) 250Вт, 5 скоростей, взбивание/замешивание, экол. пластик. корпус;14868;11490;1;17
Миксер Centek CT-1127 (черн/беж) 250Вт, 5 скоростей, взбивание/замешивание, экол. пластик. корпус;14868;5556;2;2
Миксер с чашей Centek CT-1107 (бел/сталь) 320Вт <стальная чаша 3.5л >  5 скоростей+турбо;11116;14020;2;4
Миксер с чашей Centek CT-1107 (бел/сталь) 320Вт <стальная чаша 3.5л >  5 скоростей+турбо;11116;14180;0;2
Миксер с чашей Centek CT-1107 (бел/сталь) 320Вт <стальная чаша 3.5л >  5 скоростей+турбо;11116;14020;1;3
Миксер с чашей Centek CT-1124 (черн/сталь) 600Вт, 5 скоростей +турбо, чаша 3.0л;11118;20665;2;4
Миксер с чашей Centek CT-1124 (черн/сталь) 600Вт, 5 скоростей +турбо, чаша 3.0л;11118;20665;0;17
Миксер с чашей Centek CT-1124 (черн/сталь) 600Вт, 5 скоростей +турбо, чаша 3.0л;11118;20118;1;2
Миксер с чашей Centek CT-1124 (черн/сталь) 600Вт, 5 скоростей +турбо, чаша 3.0л;11118;20118;1;3
Мультиварка Centek CT-1499 <чёрный/сталь>  900Вт, 5.0л, 25 программ, мультиповар, антиприг. покрыти;17306;25810;0;2
Мультиварка Centek CT-1499 <чёрный/сталь>  900Вт, 5.0л, 25 программ, мультиповар, антиприг. покрыти;17306;25790;2;3
Мультиварка OPTIMA MC-5101 (11 реж., Led-диспл., антиприг.покр.чаши, электр. упр.,аксесс.,5л,900Вт);19120;13725;1;2
Мясорубка Centek CT-1606 3000Bт, алюм. корпус, 3 диска, алюм.лоток, насадки колбас и кеббе, 3кг/мин;17282;52820;1;2
Мясорубка Centek CT-1623 <2000 Bт> 2 кг/мин, реверс, стальной коннектор, 2 диска, 2 насадки;11319;35665;2;4
Мясорубка Centek CT-1623 <2000 Bт> 2 кг/мин, реверс, стальной коннектор, 2 диска, 2 насадки;11319;39000;0;2
Мясорубка Centek CT-1623 <2000 Bт> 2 кг/мин, реверс, стальной коннектор, 2 диска, 2 насадки;11319;35665;1;3
Электромясорубка WILLMARK WMG-2512X (2000Вт, 2.1кг/мин, реверс, защита двиг., 2 реш.);19118;15870;2;4
Электромясорубка Аксион М 12.02;1350;25694;2;2
Электромясорубка Аксион М 12.02;1350;25694;2;3
Электромясорубка Аксион М 21.01;987;22720;2;4
Электромясорубка Аксион М 21.01;987;21027;0;2
Электромясорубка Аксион М 21.03;989;37910;2;4
Электромясорубка Аксион М 21.03;989;37990;0;2
Электромясорубка Аксион М 21.03;989;37910;1;3
Электромясорубка Аксион М 25.01;991;22025;5;17
Электромясорубка Аксион М 25.01;991;22025;3;1
Электромясорубка Аксион М 25.01;991;22025;2;2
Электромясорубка Аксион М 25.01;991;22025;3;3
Электромясорубка Аксион М 25.02;992;25820;2;17
Электромясорубка Аксион М 25.02;992;25880;3;1
Электромясорубка Аксион М 25.02;992;30000;3;2
Электромясорубка Аксион М 25.02;992;25860;3;3
Электромясорубка Аксион М 25.03;993;23750;0;2
Электромясорубка Аксион М 25.03;993;25870;1;3
Электромясорубка Аксион М 25.10;4120;21412;3;4
Электромясорубка Аксион М 25.10;4120;21412;2;2
