Товар наименование;код товара;цена;Остаток;код склада
Электромясорубка Аксион М 25.10;4120;21412;3;3
Электромясорубка Аксион М 31.01 с реверсом;995;25114;0;4
Электромясорубка Аксион М 31.01 с реверсом;995;23648;0;1
Электромясорубка Аксион М 31.01 с реверсом;995;23648;9;2
Электромясорубка Аксион М 31.01 с реверсом;995;23648;3;3
Электромясорубка Аксион М 31.01 с реверсом  в черном  корпусе;1016;31500;0;4
Электромясорубка Аксион М 31.01 с реверсом  в черном  корпусе;1016;31320;3;2
Электромясорубка Аксион М 31.01 с реверсом  в черном  корпусе;1016;31320;3;3
Электромясорубка Аксион М 31.02;2378;28355;2;4
Электромясорубка Аксион М 31.02;2378;28355;6;17
Электромясорубка Аксион М 31.02;2378;28355;2;1
Электромясорубка Аксион М 31.02;2378;28355;7;2
Электромясорубка Аксион М 31.03;2379;32820;3;17
Электромясорубка Аксион М 31.03;2379;32820;1;2
Электромясорубка Аксион М 31.03;2379;32820;3;3
Электромясорубка Аксион М 32.01 в желтом  корпусе;2642;22840;0;2
Электромясорубка Аксион М 32.01 в желтом  корпусе;2642;22920;1;3
Электромясорубка Аксион М 32.02;1002;28887;0;4
Электромясорубка Аксион М 32.02;1002;28466;5;17
Электромясорубка Аксион М 32.02;1002;28466;4;2
Электромясорубка Аксион М 32.03;1003;28672;5;17
Электромясорубка Аксион М 32.03;1003;33589;0;2
Электромясорубка Аксион М 33.01;2542;28000;0;2
Электромясорубка Аксион М 33.01;2542;25140;0;3
Электромясорубка Аксион М 33.04;4714;29898;2;4
Электромясорубка Аксион М 33.04;4714;29898;1;17
Электромясорубка Аксион М 33.04;4714;30262;1;1
Электромясорубка Аксион М 33.04;4714;30262;0;2
Электромясорубка Аксион М 33.04;4714;28100;0;3
Электромясорубка Аксион М 34.01;2981;22233;1;4
Электромясорубка Аксион М 34.01;2981;21694;10;17
Электромясорубка Аксион М 34.01;2981;22201;0;2
Электромясорубка Аксион М 34.01;2981;22201;2;3
Электромясорубка Аксион М 34.02;3426;28983;1;4
Электромясорубка Аксион М 34.02;3426;29383;0;2
Электромясорубка Аксион М 41.01;1355;31317;6;17
Электромясорубка Аксион М 41.01;1355;31317;3;2
Электромясорубка Аксион М 41.01;1355;31317;3;3
Электромясорубка Аксион М 41.02;2644;35054;2;17
Электромясорубка Аксион М 41.02;2644;41200;0;2
Электромясорубка Аксион М 41.02;2644;35316;3;3
Электромясорубка Аксион М 641.02;11597;50836;2;4
Электромясорубка Аксион М 641.02;11597;51495;0;2
Электромясорубра Аксион М 321.04;18686;41720;4;4
Электромясорубра Аксион М 34.03;4715;30090;2;4
Электромясорубра Аксион М 34.03;4715;30090;0;2
Электромясорубра Аксион М 34.03;4715;30090;2;3
Электромясорубра Аксион М 35.02;4717;28737;5;17
Электромясорубра Аксион М 35.02;4717;30030;6;2
Электромясорубра Аксион М 35.02;4717;30030;3;3
Электромясорубра Аксион М 35.04;10483;27020;1;4
Электромясорубра Аксион М 35.04;10483;27020;2;17
Электромясорубра Аксион М 35.04;10483;27799;0;2
Электромясорубра Аксион М 41.04;10961;36400;0;2
Электромясорубра Аксион М 41.04;10961;32579;3;3
Электромясорубра Аксион М 42.02;7411;59890;2;4
Электромясорубра Аксион М 42.02;7411;59890;6;17
Электромясорубра Аксион М 42.02;7411;59890;0;1
Электромясорубра Аксион М 42.02;7411;50861;0;2
Электромясорубра Аксион М 42.02;7411;59890;0;3
Электромясорубра Аксион М 42.04 в белом корпусе;14446;41652;2;4
Электромясорубра Аксион М 42.04 в белом корпусе;14446;43340;0;2
Электромясорубра Аксион М 43.02;16325;36020;2;4
Электромясорубра Аксион М 43.02;16325;36580;1;2
Электромясорубра Аксион М 61.01 в темно синем корпусе;10485;40404;1;4
Электромясорубра Аксион М 61.01 в темно синем корпусе;10485;40404;4;17
Электромясорубра Аксион М 61.01 в темно синем корпусе;10485;41767;0;1
Электромясорубра Аксион М 61.01 в темно синем корпусе;10485;41824;0;2
Электромясорубра Аксион М 61.01 в темно синем корпусе;10485;41899;0;3
Электромясорубра Аксион М 61.01 черно/серебристый металлик;10672;41930;1;4
Электромясорубра Аксион М 61.01 черно/серебристый металлик;10672;41930;3;17
Электромясорубра Аксион М 61.01 черно/серебристый металлик;10672;41930;1;2
Электромясорубра Аксион М 61.01 черно/серебристый металлик;10672;41930;3;3
Электромясорубра Аксион М 61.02 темно синий;9644;62608;1;4
Электромясорубра Аксион М 61.02 темно синий;9644;65800;0;2
Электромясорубра Аксион М 61.02 темно синий;9644;62608;3;3
Электромясорубра Аксион М 61.02 черно-серебристый корпус;9828;69460;2;4
Электромясорубра Аксион М 61.02 черно-серебристый корпус;9828;59790;0;2
Электромясорубра Аксион М 61.04 черно/серебристый металлик;10962;45365;2;4
Электромясорубра Аксион М 61.04 черно/серебристый металлик;10962;45365;1;2
Электромясорубра Аксион М 61.04 черно/серебристый металлик;10962;45365;2;3
Панель для мультипекаря REDMOND RGP-01 (гриль) черный;10144;25710;2;2
Пароварка Centek CT-1458  <9л>  1050Вт, стальной корпус, таймер 60 мин, 3 контейнера чаша для риса;15460;23020;2;4
Пароварка Centek CT-1458  <9л>  1050Вт, стальной корпус, таймер 60 мин, 3 контейнера чаша для риса;15460;23020;2;2
Пароварка Centek CT-1458  <9л>  1050Вт, стальной корпус, таймер 60 мин, 3 контейнера чаша для риса;15460;23020;3;3
Пароварка Centek CT-1459  <9л> 1050Вт, LED дисплей, сталь, корпус, элект.таймер, чаша д/риса;15461;28620;2;4
Пароварка Centek CT-1459  <9л> 1050Вт, LED дисплей, сталь, корпус, элект.таймер, чаша д/риса;15461;28620;6;2
Пароварка Centek CT-1459  <9л> 1050Вт, LED дисплей, сталь, корпус, элект.таймер, чаша д/риса;15461;28620;1;3
LR01-35-30 Сковорода LARA серия мюнхен 30см;18218;10590;2;4
Соковыжималка Centek CT-1212 (черный, сталь) 1200Вт, 2 скор. + Pulse, стакан 1100 мл, горловина 75мм;11723;31433;2;4
Соковыжималка Centek CT-1212 (черный, сталь) 1200Вт, 2 скор. + Pulse, стакан 1100 мл, горловина 75мм;11723;24798;0;2
Соковыжималка Centek CT-1214 (черный, сталь) 1500Вт, 2 скор., стакан 1100 мл, горловина 85мм;11724;27620;3;4
Соковыжималка Centek CT-1214 (черный, сталь) 1500Вт, 2 скор., стакан 1100 мл, горловина 85мм;11724;18730;0;2
Соковыжималка Аксион СЦ 32.01черная;9827;45628;2;4
Соковыжималка Аксион СЦ 32.01черная;9827;45628;4;2
Электросоковыжималка Аксион СЦ32.01;1041;37515;1;4
Электросоковыжималка Аксион СЦ32.01;1041;29300;0;2
Сушилка для овощей Centek CT-1650, 270Вт, 5 поддонов, электронное управление, таймер 72 ч, автооткл.;11901;36530;2;4
Сушилка для овощей Centek CT-1650, 270Вт, 5 поддонов, электронное управление, таймер 72 ч, автооткл.;11901;36530;1;2
Сушилка для овощей Centek CT-1650, 270Вт, 5 поддонов, электронное управление, таймер 72 ч, автооткл.;11901;36530;3;3
Сушилка для овощей Centek CT-1660, ОБЪЁМ 20 л, 5 поддонов, 520Вт, регулировка  температуры;14872;43331;2;4
Сушилка для овощей Centek CT-1660, ОБЪЁМ 20 л, 5 поддонов, 520Вт, регулировка  температуры;14872;39180;0;2
Сушилка для овощей Centek CT-1660, ОБЪЁМ 20 л, 5 поддонов, 520Вт, регулировка  температуры;14872;43331;1;3
Термопот Centek CT-1081 6.0л, 850Вт, рисунок на корпусе, 2 способа подачи воды, двойная защита;14612;29361;4;4
Термопот Centek CT-1081 6.0л, 850Вт, рисунок на корпусе, 2 способа подачи воды, двойная защита;14612;29381;0;2
Термопот Oasis TP-4L2;18446;16589;4;2
Термопот Oasis TP-4L3;18447;19090;2;2
Термопот Oasis TP-5L2;18448;18877;3;2
Термопот Oasis TP-5L3;18449;21068;3;2
Поттер OPTIMA AP-433R (4.3л, 3 сп. нал. воды,бак из нерж.стали, белый пластик, 800Вт);19127;16984;3;2
Поттер OPTIMA AP-433R (4.3л, 3 сп. нал. воды,бак из нерж.стали, белый пластик, 800Вт);19127;16974;1;3
Поттер WILLMARK WAP-602CKL (6,3л, 2 сп. нал. воды,повт. кипячение, 900Вт, цвета в ассортименте) (Бор;19133;27589;4;2
Поттер WILLMARK WAP-602CKL (6,3л, 2 сп. нал. воды,повт. кипячение, 900Вт, цвета в ассортименте) (Бор;19133;27579;1;3
Тостер Centek CT-1422 Gray 850Вт, 7 ур. прожарки, 2 тоста, поддон, стоп, подогрев, разморозка;17302;14919;1;2
Эпилятор Centek CT-2195 (белый)  5Вт, 4 насадки, LED подсв./индикат., Li-Ion, 1200 мАч, 3 режима раб;11750;9956;1;2
Эпилятор Centek CT-2195 (белый)  5Вт, 4 насадки, LED подсв./индикат., Li-Ion, 1200 мАч, 3 режима раб;11750;9956;2;3
Ультразвуковой увлажнитель воздуха Centek СТ-5101 BLUE   <300мл/ч> 8.5ч работы, 2,5л, 30м2;10919;13126;3;4
Ультразвуковой увлажнитель воздуха Centek СТ-5101 BLUE   <300мл/ч> 8.5ч работы, 2,5л, 30м2;10919;13990;0;2
Отпариватель Centek CT-2370 (черн/красн) 2000Вт, 1.6л, 30г/мин, керамика, вешалка, регулятор мощн.;10867;72984;3;4
Отпариватель Centek CT-2370 (черн/красн) 2000Вт, 1.6л, 30г/мин, керамика, вешалка, регулятор мощн.;10867;46700;0;2
Отпариватель Centek CT-2370 (черн/красн) 2000Вт, 1.6л, 30г/мин, керамика, вешалка, регулятор мощн.;10867;72984;1;3
Отпариватель Centek CT-2372 (малиновый) 2200Вт, 1.5л, 45г/мин, 6 режимов, ДВОЙНАЯ ШТАНГА;14064;45920;3;4
Отпариватель Centek CT-2372 (малиновый) 2200Вт, 1.5л, 45г/мин, 6 режимов, ДВОЙНАЯ ШТАНГА;14064;56300;0;2
Отпариватель Centek CT-2379 (розовый) 2200Вт, 2.5л БОЛЬШОЙ БАК, 40г/мин,10 режимов, алюм.штанга;14065;86862;3;4
Отпариватель Centek CT-2379 (розовый) 2200Вт, 2.5л БОЛЬШОЙ БАК, 40г/мин,10 режимов, алюм.штанга;14065;45300;0;2
Утюг Centek CT-2311 <RED> 3000Вт, 450мл, керамика, капля-стоп, антинакипь, самоочистка;10401;14920;4;4
Утюг Centek CT-2311 <RED> 3000Вт, 450мл, керамика, капля-стоп, антинакипь, самоочистка;10401;14920;6;2
Утюг Centek CT-2311 <RED> 3000Вт, 450мл, керамика, капля-стоп, антинакипь, самоочистка;10401;14920;2;3
Утюг Centek CT-2312 3000Вт <Sensor Touch> 450мл, паровой удар, самоочистка, капля-стоп;10402;16920;1;4
Утюг Centek CT-2312 3000Вт <Sensor Touch> 450мл, паровой удар, самоочистка, капля-стоп;10402;17290;0;2
Утюг Centek CT-2314 2800 Вт, керам антиприг. подошва, паровой удар, защита от накипи, автовыключение;16484;14490;5;4
Утюг Centek CT-2314 2800 Вт, керам антиприг. подошва, паровой удар, защита от накипи, автовыключение;16484;14490;1;2
Утюг Centek CT-2317 (черный) 2800 Вт, керам. подошва, паровой удар, защита от накипи, автовыключение;16485;12165;3;4
Утюг Centek CT-2317 (черный) 2800 Вт, керам. подошва, паровой удар, защита от накипи, автовыключение;16485;15100;0;2
Утюг Centek CT-2317 BLUE (синий) 2800 Вт, керам. подошва, пар. удар, защ. от накипи, автовыключение;16486;11848;2;4
Утюг Centek CT-2317 BLUE (синий) 2800 Вт, керам. подошва, пар. удар, защ. от накипи, автовыключение;16486;11544;0;2
Утюг Centek CT-2321 Серый / 2000Вт 1,8м 210мл Антипригарное 15гр/мин Капля-стоп Самоочистка;16908;8600;4;4
Утюг Centek CT-2321 Серый / 2000Вт 1,8м 210мл Антипригарное 15гр/мин Капля-стоп Самоочистка;16908;8917;0;2
Утюг Centek CT-2321 Серый / 2000Вт 1,8м 210мл Антипригарное 15гр/мин Капля-стоп Самоочистка;16908;8599;2;3
Утюг Centek CT-2344 VIOLET 2400Вт, керамическая подошва, мощный паровой удар, самоочистка, 330мл;10415;8931;3;4
Утюг Centek CT-2344 VIOLET 2400Вт, керамическая подошва, мощный паровой удар, самоочистка, 330мл;10415;9315;0;2
Утюг Centek CT-2345 (красный/чёрный) 2600Вт, керам. подошва, мощный паровой удар, самоочистка, 285мл;15416;9956;1;4
Утюг Centek CT-2345 (красный/чёрный) 2600Вт, керам. подошва, мощный паровой удар, самоочистка, 285мл;15416;9960;0;2
Утюг Centek CT-2346 (красный) 3000Вт, МОЩНЫЙ ПАРОВОЙ УДАР, керамическая подошва, самоочистка, 380мл;10417;12820;3;4
Утюг Centek CT-2346 (красный) 3000Вт, МОЩНЫЙ ПАРОВОЙ УДАР, керамическая подошва, самоочистка, 380мл;10417;12989;0;2
Утюг Centek CT-2347 RED (красный) 1800Вт, антипригар. подошва, паровой удар, самоочистка, 200мл;15418;6989;10;4
Утюг Centek CT-2347 RED (красный) 1800Вт, антипригар. подошва, паровой удар, самоочистка, 200мл;15418;6989;3;2
Утюг Centek CT-2348 BLUE (синий) 1800Вт, КЕРАМИЧЕСКАЯ подошва, паровой удар, самоочистка, 200мл;15419;5886;7;4
Утюг Centek CT-2348 BLUE (синий) 1800Вт, КЕРАМИЧЕСКАЯ подошва, паровой удар, самоочистка, 200мл;15419;5886;0;1
Утюг Centek CT-2348 BLUE (синий) 1800Вт, КЕРАМИЧЕСКАЯ подошва, паровой удар, самоочистка, 200мл;15419;6010;1;2
Утюг Centek CT-2348 BLUE (синий) 1800Вт, КЕРАМИЧЕСКАЯ подошва, паровой удар, самоочистка, 200мл;15419;6010;0;3
Утюг Centek CT-2348 VIOLET (фиолет) 1800Вт, КЕРАМИЧЕСКАЯ подошва, паровой удар, самоочистка, 200мл;15420;7916;6;4
Утюг Centek CT-2348 VIOLET (фиолет) 1800Вт, КЕРАМИЧЕСКАЯ подошва, паровой удар, самоочистка, 200мл;15420;9790;0;2
Утюг Centek CT-2350 RED (красн) 2600Вт, КЕРАМИЧЕСКАЯ подошва, ВЫСОКАЯ МОЩНОСТЬ, 300 мл;15422;9856;8;4
Утюг Centek CT-2350 RED (красн) 2600Вт, КЕРАМИЧЕСКАЯ подошва, ВЫСОКАЯ МОЩНОСТЬ, 300 мл;15422;9620;0;2
Утюг Centek CT-2350 RED (красн) 2600Вт, КЕРАМИЧЕСКАЯ подошва, ВЫСОКАЯ МОЩНОСТЬ, 300 мл;15422;9856;1;3
Утюг Centek CT-2351 Blue (синий) 2200Вт, КЕРАМИЧЕСКАЯ подошва, 300 мл, паровой удар, самоочистка;10420;7968;1;4
Утюг Centek CT-2351 Blue (синий) 2200Вт, КЕРАМИЧЕСКАЯ подошва, 300 мл, паровой удар, самоочистка;10420;8140;0;2
Утюг Centek CT-2351 Blue (синий) 2200Вт, КЕРАМИЧЕСКАЯ подошва, 300 мл, паровой удар, самоочистка;10420;8140;3;3
Утюг Centek CT-2355 VIOLET 2500Вт, керамическ подошва, 270мл, паровой удар, самоочистка, капля-стоп;10424;9866;5;4
Утюг Centek CT-2355 VIOLET 2500Вт, керамическ подошва, 270мл, паровой удар, самоочистка, капля-стоп;10424;15990;0;17
Утюг Centek CT-2355 VIOLET 2500Вт, керамическ подошва, 270мл, паровой удар, самоочистка, капля-стоп;10424;10650;0;2
Утюг Centek CT-2356 BLUE (6 шт) 2200Вт, керамическ подошва, 250мл, паровой удар, самоочистка;11335;19129;0;2
Утюг Centek CT-2356 BLUE (6 шт) 2200Вт, керамическ подошва, 250мл, паровой удар, самоочистка;11335;11719;1;3
Утюг Centek CT-2362 3000 Вт, 450мл, керам.подошва, пар.удар, самоочистка, капля-стоп, автовыключение;11340;13713;3;4
Утюг Centek CT-2362 3000 Вт, 450мл, керам.подошва, пар.удар, самоочистка, капля-стоп, автовыключение;11340;13713;5;2
Утюг Centek CT-2362 3000 Вт, 450мл, керам.подошва, пар.удар, самоочистка, капля-стоп, автовыключение;11340;13713;1;3
Утюг Centek CT-2363 BLUE 2200 Вт, 300мл, керамическая подошва, паровой удар, самоочистка;11341;9956;4;4
Утюг Centek CT-2363 BLUE 2200 Вт, 300мл, керамическая подошва, паровой удар, самоочистка;11341;9959;0;2
Утюг Centek CT-2363 BLUE 2200 Вт, 300мл, керамическая подошва, паровой удар, самоочистка;11341;9956;4;3
Утюг WILLMARK SI-2267CB (2200Вт, керам. подошва., 210 мл, ,самоочист.,пар удар);19146;6846;1;2
Утюг WILLMARK SI-2467CBP (2400Вт, керам. подошва., 210 мл, ,самоочист.,пар удар, красный);19105;7987;1;4
Утюг WILLMARK SI-2467CBP (2400Вт, керам. подошва., 210 мл, ,самоочист.,пар удар, красный);19105;7987;0;2
Стайлер Centek CT-2093 (бел/роз)  45Вт Автоматическая завивка, Турмалиновое покрытие, быстрый нагре;16083;13920;2;4
Стайлер Centek CT-2093 (бел/роз)  45Вт Автоматическая завивка, Турмалиновое покрытие, быстрый нагре;16083;13960;0;2
Фен Centek CT-2216 черн  2000Вт, 2 скорости нагрева;18212;10539;1;4
Фен Centek CT-2226 Professional (черн/оранж) 2200Вт, мощный AC мотор, 5 режимов, 2 концентратора;15424;20440;2;4
Фен Centek CT-2226 Professional (черн/оранж) 2200Вт, мощный AC мотор, 5 режимов, 2 концентратора;15424;14500;0;2
Щипцы для завивки Centek CT-2091 черн/бронз 30вт керамика диаметр9мм;15627;5956;2;4
Щипцы для завивки Centek CT-2091 черн/бронз 30вт керамика диаметр9мм;15627;6530;0;2
Чайник Centek CT-0012 стекло 1.7л, 2200Вт, Двойные стенки, LED,Защита от перегрева, Фильтр от накипи;17723;15600;0;2
Чайник Centek CT-0012 стекло 1.7л, 2200Вт, Двойные стенки, LED,Защита от перегрева, Фильтр от накипи;17723;13670;2;3
Чайник Centek CT-0027  1.7л, 2200Вт, LED, матовый корпус, двойная защита от включения без воды;14617;9999;12;4
Чайник Centek CT-0027  1.7л, 2200Вт, LED, матовый корпус, двойная защита от включения без воды;14617;12290;0;2
Чайник Centek CT-0028 White 1.7л <2200W> двойной корпус - сталь+пластик, двойная стенка,сохран тепл;16899;10120;2;2
Чайник Centek CT-0030 стекло 1.7л, 2200Вт, внутр. LED подсветка,защита от вкл б/воды;10444;10690;0;2
Чайник Centek CT-0031 стекло 1.7л, 2200Вт, платформа, внутренний LED дисплей, 6 режимов;10445;15630;3;4
Чайник Centek CT-0031 стекло 1.7л, 2200Вт, платформа, внутренний LED дисплей, 6 режимов;10445;15690;0;2
Чайник Centek CT-0031 стекло 1.7л, 2200Вт, платформа, внутренний LED дисплей, 6 режимов;10445;15630;7;3
Чайник Centek CT-0034  серый Vancouver стекло, 1.8л, 2200Вт, внутренняя LED подсветка, кнопка;19188;8866;3;4
Чайник Centek CT-0034  серый Vancouver стекло, 1.8л, 2200Вт, внутренняя LED подсветка, кнопка;19188;8872;0;2
Чайник Centek CT-0037 (матовый) металл 2,0л, 2100W, большой объём, хромированная вставка;10450;6989;6;4
Чайник Centek CT-0037 (матовый) металл 2,0л, 2100W, большой объём, хромированная вставка;10450;6990;0;2
Чайник Centek CT-0042 Violet стекло, 1.8л, 2200Вт, внутренняя LED подсветка, кнопка;10907;16847;1;17
Чайник Centek CT-0042 Violet стекло, 1.8л, 2200Вт, внутренняя LED подсветка, кнопка;10907;10490;3;2
Чайник Centek CT-0042 Violet стекло, 1.8л, 2200Вт, внутренняя LED подсветка, кнопка;10907;10490;2;3
Чайник Centek CT-0046 стекло, 1.7л, 2200Вт, внутренняя LED подсветка, отделка нерж;10908;9667;0;2
Чайник Centek CT-0046 стекло, 1.7л, 2200Вт, внутренняя LED подсветка, отделка нерж;10908;9656;1;3
Чайник Centek CT-1068 RED (красный) металл 2л, 2000W, хромированная вставка на крышке;10463;11690;0;2
Чайник Centek CT-1068 RED (красный) металл 2л, 2000W, хромированная вставка на крышке;10463;6556;1;3
Электрический чайник making Oasis everywhere K-8GI;17604;6489;0;2
Электрический чайник making Oasis everywhere K-8GI;17604;6489;0;3
Электрический чайник making Oasis everywhere K-8GS;17605;6889;6;2
Электрический чайник making Oasis everywhere K-8GS;17605;6889;0;3
Электрический чайник making Oasis everywhere K-8GW;18442;6789;1;2
Чайник эл. K-809 (1,8л, поворот на 360°, свет. индикат. раб., корп. из нерж. стали, 1800Вт);19149;2544;9;2
Чайник эл.WILLMARK WEK-1758S(1.7л,нерж.сталь,смотр.окно,пов.на 360 град.,сетч.фильтр,2200Вт)жёлтый;19150;7676;2;2
Чайник эл.WILLMARK WEK-1758S(1.7л,нерж.сталь,смотр.окно,пов.на 360 град.,сетч.фильтр,2200Вт)жёлтый;19150;7676;1;3
Чайник эл.WILLMARK WEK-1758S(1.7л,нерж.сталь,смотр.окно,пов.на 360 град.,сетч.фильтр,2200Вт)оранж;19152;9938;4;2
Чайник эл.WILLMARK WEK-2012PS(2.0л,двойные стенки,эффект термоса,пов.на 360 град.,2000Вт тём красн;19155;9138;0;2
Чайник эл.WILLMARK WEK-2012PS(2.0л,двойные стенки,эффект термоса,пов.на 360 град.,2000Вт тём красн;19155;9138;1;3
Часы настенные Centek СТ-7105 <Black>(черный)23 см диам., круг, шаговый ход, кварцевый механизм;15472;2797;2;4
Часы настенные Centek СТ-7105 <Black>(черный)23 см диам., круг, шаговый ход, кварцевый механизм;15472;2890;0;2
Часы настенные Centek СТ-7106 <Black> (черный) 30 см диам., шаговый ход, кварцевый механизм;16887;3884;5;2
Жарочный шкаф Centek CT-1531-42 CONVECTION (черн) <42л> 1600Вт, 5 режимов, конвекция;15450;61913;1;4
Плитка газовая Centek CT-1522 (белая), настольная, 3 конфорки (БЕЗ сменных форсунок);10329;11135;1;4
Плитка газовая Centek CT-1522 (белая), настольная, 3 конфорки (БЕЗ сменных форсунок);10329;10990;0;2
Плитка газовая Centek CT-1522 (белая), настольная, 3 конфорки (БЕЗ сменных форсунок);10329;11135;1;3
Плитка индукционная Centek CT-1517 White <2000Вт> 8 настр. мощности, 7 программ, таймер, LED-дисплей;11121;20843;1;4
Плитка индукционная Centek CT-1517 White <2000Вт> 8 настр. мощности, 7 программ, таймер, LED-дисплей;11121;20843;1;2
Плитка индукционная Centek CT-1519 <2000Вт> 8 настр. мощнос, 6 программ, LED-дисплей таймер, сенсор.;11122;26980;4;4
Плитка индукционная Centek CT-1519 <2000Вт> 8 настр. мощнос, 6 программ, LED-дисплей таймер, сенсор.;11122;26980;3;2
Плитка электрическая Centek CT-1507 (белый) 2конф ЧУГУН 155мм, 2000Вт, индикатор работы;10335;10916;6;4
Плитка электрическая Centek CT-1507 (белый) 2конф ЧУГУН 155мм, 2000Вт, индикатор работы;10335;12624;0;2
Плитка электрическая Centek CT-1507 (белый) 2конф ЧУГУН 155мм, 2000Вт, индикатор работы;10335;10916;1;3
Плитка электрическая Centek CT-1507 <Siberia>  2конф ЧУГУН 155мм, 2000Вт, индикатор работы;10337;10362;1;2
Плитка электрическая Centek CT-1508 (белая) 1конфорка ТЭН 140мм, 1000Вт, индикатор работы;10342;3990;1;17
Плитка электрическая Centek CT-1508 (белая) 1конфорка ТЭН 140мм, 1000Вт, индикатор работы;10342;3690;0;2
Плитка электрическая Centek CT-1508 (белая) 1конфорка ТЭН 140мм, 1000Вт, индикатор работы;10342;3967;1;3
Плитка электрическая Centek CT-1509 (Siberia) 2 конфорки ТЭН 140мм, 2000Вт, индикатор работы;10345;12332;1;17
Плитка электрическая Centek CT-1509 (Siberia) 2 конфорки ТЭН 140мм, 2000Вт, индикатор работы;10345;9400;0;1
Плитка электрическая Centek CT-1509 (Siberia) 2 конфорки ТЭН 140мм, 2000Вт, индикатор работы;10345;9400;0;2
Плитка электрическая Centek CT-1509 (белая) 2конфорки ТЭН 140мм, 2000Вт, индикатор работы;10346;12287;1;17
Плитка электрическая Centek CT-1509 (белая) 2конфорки ТЭН 140мм, 2000Вт, индикатор работы;10346;8990;0;2
Плитка электрическая Centek CT-1509 (белая) 2конфорки ТЭН 140мм, 2000Вт, индикатор работы;10346;12287;4;3
"Настольная индукционная плита ""making Oasis everywhere"" РI-B12SK";17402;30980;0;2
"Настольная индукционная плита ""making Oasis everywhere"" РI-B12SK";17402;23168;1;3
